site_name,placementid,placement,size,type,is_vid,Formats,Notes
gfinityesports.com,60dadf12fb14e07fa494e2ee,[V][A] Instream - Preroll - GfinityEsports - Desktop - CMS,1x1,PreRoll,Video,,
gfinityesports.com,60dadf207e488531caee125e,[V][A] Instream - Preroll - GfinityEsports - Mobileweb - CMS,1x1,PreRoll,Video,,
gfinityesports.com,623ae7b58afc7243dd3939c4,Gfinityesports - 300x50 Dynamic Mobile V2,"300x50, 320x50, 5x5	",In-article,Dynamic or Mobile takeover,,
gfinityesports.com,623b4799de1d4541d049eee4,Gfinityesports - 300x50 Dynamic Mobile - ATF (Campaign) V2,"300x50, 320x50, 5x5	",Outside article,Dynamic or Mobile takeover,,
gfinityesports.com,5e8211111c957813c16ee0d0,Gfinityesports - 300x250 Static,300x250,In-article,Display,MPU,
gfinityesports.com,5eba6f2433ac7c678655e410,Gfinityesports - 300x250 Static - Gallery,300x250,In-article,Display,MPU,
gfinityesports.com,5e78f84b1c957813c16edead,Gfinityesports - Rich Media 1x1,1x1,Rich Media,Display,,
gfinityesports.com,5e821153963d0e25e62b6151,Gfinityesports - 300x50 Dynamic Mobile,"300x50, 320x50, 5x5	",In-article,Display,,
gfinityesports.com,5e8211021c957813c16ee0ce,Gfinityesports - 300x250 Dynamic,"300x250, 300x600, 160x600	",In-article,Display,MPU,
gfinityesports.com,5f22d01e0db7c34a71657ec0,Gfinityesports - Rich Media With Slider,1x1,Rich Media,Display,,
gfinityesports.com,623ae7ccde1d4541d049ed4d,Gfinityesports - 300x250 Static V2,300x250,In-article,Display,MPU,
gfinityesports.com,5eba71a0162ee068a31bbe2c,Gfinityesports - 300x50 Dynamic Mobile - Gallery,"300x50, 320x50	",In-article,Display,,
gfinityesports.com,5eba70c233ac7c678655e41a,Gfinityesports - 728x90 Static - Gallery,728x90,In-article,Display,,
gfinityesports.com,5e82113e9f81721e77c768df,Gfinityesports - 728x90 Static,728x90,In-article,Display,,
gfinityesports.com,60549810337bfd28970d5a27,[V][A] Instream - Preroll - GfinityEsports - MobileWeb - VPAID,1x1,PreRoll,Video,,
gfinityesports.com,5eba707767200b4317949e3b,Gfinityesports - 970x250 ATF - Campaign,970x250,Outside article,Display,Takeover or Billboard,
gfinityesports.com,60c31cd24ddc61657bcb59c8,[V][A] Instream - Preroll - GfinityEsports - Desktop - VPAID,1x1,PreRoll,Video,,
gfinityesports.com,5eba71b133ac7c678655e422,Gfinityesports - 300x50 Dynamic Mobile - ATF (Campaign),"300x50, 320x50, 5x5	",Outside article,Display or Mobile takeover,,
gfinityesports.com,620d18d1c60cb1644bf9d3e8,Gfinityesports - AMP,300x250,AMP,Display,,
gfinityesports.com,5ed7857ff732892da8001ba2,Gfinityesports - 300x50 Dynamic Footer Mobile (RM),"300x50, 320x50, 320x100, 300x100	",Outside article,Display,Adhesive Mobile Footer,
gfinityesports.com,5eccd77ea624ae2e71257a52,Gfinityesports - 300x250 Vertical Sticky (RM),"300x250, 300x600, 160x600	",Outside article,Display,,
gfinityesports.com,5e82118b963d0e25e62b6153,Gfinityesports - 728x90 Dynamic Sticky Footer (RM),"728x90, 970x90	",Outside article,Display,Adhesive Banner Footer,
gfinityesports.com,62beeecee65ec72a4c1f9aad,Gfinityesports - 728x90 Static - v2,728x90,In-article,Display,,New
gfinityesports.com,6344046823b1067586099283,Gfinityesports - 970x250 Dynamic in between article,970x250,In-article,Display,,New
