site_name,placementid,placement,size,type,is_vid,,Notes
mtgrocks.com,605a0974337bfd28970d5bea,mtgrocks.com - 300x250 Vertical Sticky (RM),"300x250, 120x600, 160x600, 300x600",Outside article,Display,,
mtgrocks.com,605a0986337bfd28970d5bec,mtgrocks.com - 300x50 Mobile Footer (RM),"300x50, 320x50",Outside article,Display,Adhesive Mobile Footer,
mtgrocks.com,6155c551d562ee3446ede85e,[V][A] Intstream - PreRoll - MobileWeb - MTGRocks - VPAID,1x1,PreRoll,Video,,
mtgrocks.com,605a0a30e8fdeb39324f4bfe,mtgrocks.com - 300x50 Mobile Dynamic,"300x50, 320x50, 300x100, 320x100, 5x5",In-article,Display or Mobile takeover,,
mtgrocks.com,611fb9aa17074747b1ec4921,[V][A] Intstream - PreRoll - Desktop - MTGRocks,1x1,PreRoll,Video,,
mtgrocks.com,605a0a1ce8fdeb39324f4bfc,mtgrocks.com - 728x90 Dynamic,"728x90, 970x90, 970x250",Outside article,Display or Desktop takeover,Billboard or Takeover,
mtgrocks.com,605a0937e8fdeb39324f4bf4,mtgrocks.com - 728x90 Desktop Footer (RM),"728x90, 970x90",Outside article,Display,Adhesive Desktop Footer,
mtgrocks.com,605a09f2e8fdeb39324f4bfa,mtgrocks.com - 300x250 Static,300x250,In-article,Display,,
mtgrocks.com,605a0929e8fdeb39324f4bf2,mtgrocks.com - Rich Media 1x1 [Slider On],1x1,Rich Media,Display and Video,,
mtgrocks.com,605a0a05337bfd28970d5bf0,mtgrocks.com - 300x250 Dynamic,"300x250, 300x600, 160x600, 120x600",In-article,Display,,
mtgrocks.com,609e40ab3d28f84c586adfbd,mtgrocks.com - Rich Media 1x1 [Slider Off],1x1,Rich Media,Display,,Removed
mtgrocks.com,6155c55dd562ee3446ede860,[V][A] Intstream - PreRoll - Desktop - MTGRocks - VPAID,1x1,PreRoll,Video,,
mtgrocks.com,605a0a11337bfd28970d5bf2,mtgrocks.com - 728x90 Static,"728x90",In-article,Display,,
